Date,Product_Category,Region,Sales_Amount
2025-06-23,Home,North,726.72
2025-05-30,Clothing,East,738.09
2025-05-29,Home,South,811.99
2025-06-25,Electronics,West,997.51
2025-05-29,Electronics,North,338.6
2025-06-04,Food,South,968.27
2025-06-24,Home,North,477.93
2025-06-03,Electronics,North,694.76
2025-06-18,Food,West,913.51
2025-06-06,Electronics,West,411.85
2025-06-03,Food,North,352.41
2025-06-13,Home,East,998.49
2025-06-10,Food,South,395.58
2025-06-13,Clothing,West,320.85
2025-06-02,Books,West,281.15
